Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1730723561.3486967,96391,1730723561,348171711,imu_link,0.0,0.0,-0.7307582673720662,0.682636326800278,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.02617993877991494,-0.013962634015954637,-0.9424777960769379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.32,-0.53,11.41,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.357642,96392,1730723561,356855869,imu_link,0.0,0.0,-0.7343225094356856,0.6788007455329418,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.027925268031909273,-0.05235987755982988,-0.9232791743050003,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.41,-1.04,8.29,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.3681333,96393,1730723561,367636681,imu_link,0.0,0.0,-0.7372773368101241,0.6755902076156602,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.003490658503988659,0.1291543646475804,-0.9320058205649718,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.03,0.53,12.59,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.3771493,96394,1730723561,376779556,imu_link,0.0,0.0,-0.740218127486832,0.672366807434668,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.08028514559173915,-0.04363323129985824,-0.9704030641088471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.42,-1.4,9.9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.3878858,96395,1730723561,387612581,imu_link,0.0,0.0,-0.7437284690450652,0.6684818354539512,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.027925268031909273,0.031415926535897934,-0.9145525280450286,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.79,-1.15,7.22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.405988,96396,1730723561,397214174,imu_link,0.0,0.0,-0.7466381822853914,0.6652303546543609,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.027925268031909273,0.09250245035569946,-0.9337511498169663,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.25,0.57,12.42,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.4079106,96397,1730723561,407619953,imu_link,0.0,0.0,-0.7501110696304596,0.6613118653236518,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0715584993317675,-0.06283185307179587,-0.9581857593448869,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.6,-1.31,8.49,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.4171894,96398,1730723561,416836023,imu_link,0.0,0.0,-0.7529894373157874,0.6580326035166145,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.005235987755982988,0.0471238898038469,-0.9389871375729493,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.15,-0.65,10.85,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.427982,96399,1730723561,427646399,imu_link,0.0,0.0,-0.7558534691676395,0.6547408137173397,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.024434609527920613,0.041887902047863905,-0.96342174710087,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.45,-1.06,10.31,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.4376755,96400,1730723561,436868668,imu_link,0.0,0.0,-0.7592713073348808,0.6507742172658509,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.061086523819801536,-0.019198621771937624,-0.9372418083209549,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.65,-0.89,8.38,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
